sim	toetseenheid	functie	toetshoogte	volume	oppervlakte	percentage
1	1156	grasland	1.04	0	0	0
1	1156	akkerbouw	0.08	43.01	125	45.45
1	1156	hoogwaardig	0.42	29649.08	48575	46.21
1	1156	stedelijk	-0.08	53.7	125	62.5
1	1155	grasland	1.14	0	0	0
1	1155	akkerbouw	1.1	0	0	0
1	1155	hoogwaardig	1.16	622.29	4150	5.48
1	1155	stedelijk	1.13	0.98	25	14.29
1	1959	grasland	1.16	0	0	0
1	1959	akkerbouw	1.21	0	0	0
1	1959	hoogwaardig	1.26	131.69	1100	1.65
1	1959	stedelijk	1.06	1.78	25	25
1	1962	grasland	1.22	0	0	0
1	1962	akkerbouw	0	0	0	0
1	1962	hoogwaardig	3.51	0	0	0
1	1962	stedelijk	0	0	0	0
1	1955	grasland	1.44	0	0	0
1	1955	akkerbouw	1.64	0	0	0
1	1955	hoogwaardig	1.53	0	0	0
1	1955	stedelijk	0	0	0	0
1	1996	grasland	1.17	0	0	0
1	1996	akkerbouw	2.14	0	0	0
1	1996	hoogwaardig	1.67	0	0	0
1	1996	stedelijk	2.08	0	0	0
1	1960	grasland	1.11	0	0	0
1	1960	akkerbouw	1.53	0	0	0
1	1960	hoogwaardig	1.01	39.77	225	5.2
1	1960	stedelijk	0	0	0	0
1	1958	grasland	1.12	0	0	0
1	1958	akkerbouw	1.4	0	0	0
1	1958	hoogwaardig	0.19	352.97	675	20.15
1	1958	stedelijk	1.46	0	0	0
1	1957	grasland	1.05	0	0	0
1	1957	akkerbouw	1.1	0	0	0
1	1957	hoogwaardig	1.07	982.47	13350	20.6
1	1957	stedelijk	1.07	0	0	0
1	1956	grasland	1.21	0	0	0
1	1956	akkerbouw	1.33	0	0	0
1	1956	hoogwaardig	1.07	35.42	125	2.69
1	1956	stedelijk	1.66	0	0	0
1	1952	grasland	1.07	0	0	0
1	1952	akkerbouw	1.46	0	0	0
1	1952	hoogwaardig	0.94	1381.27	7800	13.35
1	1952	stedelijk	1.12	0	0	0
1	1953	grasland	1.31	0	0	0
1	1953	akkerbouw	1.52	0	0	0
1	1953	hoogwaardig	1.4	568.68	7800	7.96
1	1953	stedelijk	1.53	0	0	0
1	1954	grasland	1.36	0	0	0
1	1954	akkerbouw	3.34	0	0	0
1	1954	hoogwaardig	1.6	0	0	0
1	1954	stedelijk	2.02	0	0	0
1	1964	grasland	0.62	0	0	0
1	1964	akkerbouw	0	0	0	0
1	1964	hoogwaardig	0.06	167.04	275	6.63
1	1964	stedelijk	1.76	0	0	0
1	1966	grasland	1.57	0	0	0
1	1966	akkerbouw	0	0	0	0
1	1966	hoogwaardig	0.58	283.29	1075	22.51
1	1966	stedelijk	0	0	0	0
1	1963	grasland	0.95	0	0	0
1	1963	akkerbouw	0	0	0	0
1	1963	hoogwaardig	1.82	0	0	0
1	1963	stedelijk	2.36	0	0	0
1	1124	grasland	1.6	0	0	0
1	1124	akkerbouw	2.34	0	0	0
1	1124	hoogwaardig	2.25	0	0	0
1	1124	stedelijk	0	0	0	0
1	1965	grasland	1.13	0	0	0
1	1965	akkerbouw	0	0	0	0
1	1965	hoogwaardig	-0.16	114.08	225	16.36
1	1965	stedelijk	0	0	0	0
1	1112	grasland	1.13	0	0	0
1	1112	akkerbouw	0.23	17.69	25	3.33
1	1112	hoogwaardig	0.93	2116.84	16800	11.29
1	1112	stedelijk	0.66	9.67	50	12.5
1	1947	grasland	1.37	0	0	0
1	1947	akkerbouw	1.8	0	0	0
1	1947	hoogwaardig	1.18	0	0	0
1	1947	stedelijk	1.4	0	0	0
