sim	toetseenheid	functie	toetshoogte	volume	oppervlakte	percentage
1	1156	grasland	0.95	0	0	0
1	1156	akkerbouw	-0.1	26.85	50	28.57
1	1156	hoogwaardig	0.33	7773.17	31175	29.58
1	1156	stedelijk	0.94	2.85	50	66.67
1	1155	grasland	1.05	0	0	0
1	1155	akkerbouw	0.92	0	0	0
1	1155	hoogwaardig	1.05	0	0	0
1	1155	stedelijk	1.18	0	0	0
1	1959	grasland	1.07	0	0	0
1	1959	akkerbouw	1.22	0	0	0
1	1959	hoogwaardig	1.18	0	0	0
1	1959	stedelijk	1.1	0	0	0
1	1962	grasland	1.13	0	0	0
1	1962	akkerbouw	0	0	0	0
1	1962	hoogwaardig	3.39	0	0	0
1	1962	stedelijk	0	0	0	0
1	1955	grasland	1.36	0	0	0
1	1955	akkerbouw	2.03	0	0	0
1	1955	hoogwaardig	1.46	0	0	0
1	1955	stedelijk	0	0	0	0
1	1996	grasland	1.08	0	0	0
1	1996	akkerbouw	1.32	0	0	0
1	1996	hoogwaardig	1.57	0	0	0
1	1996	stedelijk	1.53	0	0	0
1	1960	grasland	1.02	0	0	0
1	1960	akkerbouw	1.87	0	0	0
1	1960	hoogwaardig	0.89	0	0	0
1	1960	stedelijk	1.97	0	0	0
1	1958	grasland	1.03	0	0	0
1	1958	akkerbouw	1.49	0	0	0
1	1958	hoogwaardig	0.1	116.13	300	8.96
1	1958	stedelijk	1.68	0	0	0
1	1957	grasland	0.96	0	0	0
1	1957	akkerbouw	1.21	0	0	0
1	1957	hoogwaardig	0.98	0	0	0
1	1957	stedelijk	0.89	0	0	0
1	1956	grasland	1.12	0	0	0
1	1956	akkerbouw	1.45	0	0	0
1	1956	hoogwaardig	0.97	0	0	0
1	1956	stedelijk	1.46	0	0	0
1	1952	grasland	0.98	0	0	0
1	1952	akkerbouw	1	0	0	0
1	1952	hoogwaardig	0.84	0	0	0
1	1952	stedelijk	1.03	0	0	0
1	1953	grasland	1.22	0	0	0
1	1953	akkerbouw	1.43	0	0	0
1	1953	hoogwaardig	1.31	0	0	0
1	1953	stedelijk	1.36	0	0	0
1	1954	grasland	1.28	0	0	0
1	1954	akkerbouw	1.49	0	0	0
1	1954	hoogwaardig	1.51	0	0	0
1	1954	stedelijk	1.46	0	0	0
1	1964	grasland	0.55	0	0	0
1	1964	akkerbouw	1.25	0	0	0
1	1964	hoogwaardig	-0.05	61.46	150	3.7
1	1964	stedelijk	0.76	0	0	0
1	1966	grasland	0	0	0	0
1	1966	akkerbouw	0.81	0	0	0
1	1966	hoogwaardig	0.44	36.01	100	2.09
1	1966	stedelijk	0	0	0	0
1	1963	grasland	0.84	0	0	0
1	1963	akkerbouw	2.2	0	0	0
1	1963	hoogwaardig	1.72	0	0	0
1	1963	stedelijk	0	0	0	0
1	1124	grasland	1.49	0	0	0
1	1124	akkerbouw	0	0	0	0
1	1124	hoogwaardig	2.15	0	0	0
1	1124	stedelijk	2.29	0	0	0
1	1965	grasland	1.02	0	0	0
1	1965	akkerbouw	1.44	0	0	0
1	1965	hoogwaardig	-0.27	50.89	75	5.56
1	1965	stedelijk	0	0	0	0
1	1112	grasland	1.04	0	0	0
1	1112	akkerbouw	1.05	0	0	0
1	1112	hoogwaardig	0.84	0	0	0
1	1112	stedelijk	0.88	0	0	0
1	1947	grasland	1.28	0	0	0
1	1947	akkerbouw	0	0	0	0
1	1947	hoogwaardig	0.65	0	0	0
1	1947	stedelijk	1.99	0	0	0
1	1961	grasland	1.04	0	0	0
1	1961	akkerbouw	0	0	0	0
1	1961	hoogwaardig	0	0	0	0
1	1961	stedelijk	0	0	0	0
1	1123	grasland	1.54	0	0	0
1	1123	akkerbouw	0	0	0	0
1	1123	hoogwaardig	1.65	0	0	0
1	1123	stedelijk	2.32	0	0	0
1	1949	grasland	1.09	0	0	0
1	1949	akkerbouw	1.32	0	0	0
1	1949	hoogwaardig	0.88	0	0	0
1	1949	stedelijk	1.4	0	0	0
1	1109	grasland	1.04	0	0	0
1	1109	akkerbouw	1.02	0	0	0
1	1109	hoogwaardig	1.05	0	0	0
1	1109	stedelijk	1.35	0	0	0
1	1948	grasland	1.14	0	0	0
1	1948	akkerbouw	1.56	0	0	0
1	1948	hoogwaardig	0.99	0	0	0
1	1948	stedelijk	1.75	0	0	0
1	1107	grasland	1.35	0	0	0
1	1107	akkerbouw	1.66	0	0	0
1	1107	hoogwaardig	1.66	0	0	0
1	1107	stedelijk	1.55	0	0	0
1	1950	grasland	0.95	0	0	0
1	1950	akkerbouw	0.03	12.27	50	14.29
1	1950	hoogwaardig	0.47	216.37	725	1.8
1	1950	stedelijk	1.12	0	0	0
1	671	grasland	0.91	0	0	0
1	671	akkerbouw	-0.14	14.7	25	33.33
1	671	hoogwaardig	0.9	0	0	0
1	671	stedelijk	1.24	0	0	0
1	1099	grasland	0	0	0	0
1	1099	akkerbouw	0	0	0	0
1	1099	hoogwaardig	0.45	0	0	0
1	1099	stedelijk	0	0	0	0
1	1835	grasland	1.07	0	0	0
1	1835	akkerbouw	0	0	0	0
1	1835	hoogwaardig	1.11	0	0	0
1	1835	stedelijk	0	0	0	0
1	1951	grasland	0.98	0	0	0
1	1951	akkerbouw	1.01	0	0	0
1	1951	hoogwaardig	1	0	0	0
1	1951	stedelijk	1.85	0	0	0
1	1836	grasland	1.02	0	0	0
1	1836	akkerbouw	1.52	0	0	0
1	1836	hoogwaardig	1.19	0	0	0
1	1836	stedelijk	1.06	0	0	0
1	1992	grasland	0	0	0	0
1	1992	akkerbouw	0	0	0	0
1	1992	hoogwaardig	1.27	0	0	0
1	1992	stedelijk	0	0	0	0
1	1106	grasland	1.34	0	0	0
1	1106	akkerbouw	0	0	0	0
1	1106	hoogwaardig	2.1	0	0	0
1	1106	stedelijk	3.68	0	0	0
1	1976	grasland	0	0	0	0
